# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.02838,0.19867,0.67754,0.00115,0.00115,0.00000,-0.00078,0.67754,0.19867,0.04594,0.00230,0.00000,0.00230
0.01961,0.13726,0.69325,0.00069,0.00000,0.00069,-0.00034,0.69325,0.13726,0.02704,0.00000,0.00000,0.00000
0.01488,0.10415,0.69922,0.00049,0.00000,0.00049,-0.00006,0.69922,0.10415,0.01614,0.00000,0.00000,0.00000
0.01432,0.10024,0.69977,0.00047,0.00047,0.00000,0.00019,0.69977,0.10024,0.01844,0.00189,0.00000,0.00189
0.01644,0.11507,0.69738,0.00000,0.00000,0.00058,0.00021,0.69738,0.11507,0.02383,0.00000,0.00000,0.00000
0.02610,0.18268,0.68266,0.00096,0.00000,0.00000,-0.00098,0.68266,0.18268,0.02308,0.00000,0.00000,0.00000
0.02408,0.16856,0.68641,0.00087,0.00000,0.00000,-0.00075,0.68641,0.16856,0.01651,0.00000,0.00000,0.00000
0.02136,0.14955,0.69085,0.00000,0.00000,0.00081,-0.00010,0.69085,0.14955,0.01626,0.00000,0.00000,0.00000
0.01754,0.12278,0.69618,0.00063,0.00000,0.00063,0.00018,0.69618,0.12278,0.01392,0.00000,0.00000,0.00000
0.03206,0.22441,0.66918,0.00135,0.00135,0.00000,-0.00138,0.66918,0.22441,0.05137,0.00270,0.00000,0.00270
0.01580,0.11062,0.69823,0.00000,0.00000,0.00000,0.00031,0.69823,0.11062,0.01533,0.00000,0.00000,0.00000
0.02423,0.16959,0.67651,0.00093,0.00093,0.00000,-0.00044,0.69505,0.16959,0.03336,0.00278,0.00000,0.00278
0.02423,0.16959,0.69505,0.00093,0.00093,0.00000,-0.00032,0.67651,0.16959,0.03336,0.00278,0.00000,0.00278
0.01588,0.11116,0.69813,0.00054,0.00000,0.00054,-0.00003,0.69813,0.11116,0.01611,0.00107,0.00000,0.00107
0.01177,0.08240,0.70217,0.00036,0.00036,0.00036,-0.00002,0.70217,0.08240,0.01361,0.00000,0.00000,0.00000
0.01331,0.09316,0.70081,0.00043,0.00043,0.00043,0.00004,0.70081,0.09316,0.01410,0.00085,0.00000,0.00085
0.02887,0.20208,0.67687,0.00098,0.00000,0.00000,-0.00172,0.67687,0.20208,0.03433,0.00196,0.00000,0.00196
0.01288,0.09016,0.70121,0.00040,0.00040,0.00000,0.00004,0.70121,0.09016,0.01322,0.00080,0.00000,0.00080
0.02838,0.19869,0.67789,0.00117,0.00000,0.00117,-0.00100,0.67789,0.19869,0.03389,0.00351,0.00000,0.00351
0.01833,0.12828,0.69511,0.00000,0.00000,0.00000,0.00035,0.69511,0.12828,0.01948,0.00201,0.00000,0.00201
0.03459,0.24211,0.66348,0.00116,0.00000,0.00116,-0.00272,0.66348,0.24211,0.03376,0.00233,0.00000,0.00233
0.00962,0.06735,0.70385,0.00000,0.00000,0.00029,0.00026,0.70385,0.06735,0.00607,0.00058,0.00000,0.00058
0.02448,0.17135,0.68541,0.00098,0.00000,0.00000,0.00005,0.68541,0.17135,0.03329,0.00196,0.00000,0.00196
0.01797,0.12578,0.69557,0.00058,0.00000,0.00058,-0.00064,0.69557,0.12578,0.01971,0.00000,0.00000,0.00000
0.01524,0.10666,0.69884,0.00046,0.00046,0.00000,-0.00048,0.69884,0.10666,0.01609,0.00000,0.00000,0.00000
0.01077,0.07541,0.70298,0.00000,0.00000,0.00032,0.00001,0.70298,0.07541,0.01182,0.00064,0.00000,0.00064
0.02329,0.16301,0.68758,0.00077,0.00000,0.00000,-0.00106,0.68758,0.16301,0.02781,0.00000,0.00000,0.00000
0.01929,0.13504,0.69375,0.00074,0.00000,0.00074,0.00044,0.69375,0.13504,0.02374,0.00148,0.00000,0.00148
0.01224,0.08567,0.70180,0.00000,0.00000,0.00038,0.00005,0.70180,0.08567,0.01109,0.00076,0.00000,0.00076
0.01142,0.07997,0.70246,0.00000,0.00000,0.00000,0.00033,0.70246,0.07997,0.01297,0.00000,0.00000,0.00000
0.02914,0.20395,0.67638,0.00104,0.00000,0.00104,-0.00183,0.67638,0.20395,0.03122,0.00000,0.00000,0.00000
0.01888,0.13214,0.69438,0.00067,0.00067,0.00000,0.00004,0.69438,0.13214,0.01955,0.00000,0.00000,0.00000
0.01894,0.13258,0.69431,0.00063,0.00063,0.00000,-0.00045,0.69431,0.13258,0.01885,0.00000,0.00000,0.00000
