# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.02107,0.14752,0.69126,0.00000,0.00000,0.00084,0.00051,0.69126,0.14752,0.01855,0.00253,0.00084,0.00169
0.02867,0.20069,0.67719,0.00000,0.00000,0.00123,-0.00059,0.67719,0.20069,0.03792,0.00369,0.00123,0.00246
0.03580,0.25062,0.66017,0.00122,0.00000,0.00122,-0.00286,0.66017,0.25062,0.03765,0.00367,0.00122,0.00245
0.01875,0.13127,0.69453,0.00069,0.00069,0.00000,0.00037,0.69453,0.13127,0.02070,0.00208,0.00069,0.00139
0.01861,0.13026,0.69472,0.00067,0.00067,0.00067,-0.00006,0.69472,0.13026,0.02057,0.00334,0.00067,0.00267
0.02633,0.18434,0.68196,0.00107,0.00000,0.00107,-0.00064,0.68196,0.18434,0.03452,0.00320,0.00107,0.00213
0.01429,0.10005,0.69985,0.00049,0.00000,0.00000,0.00051,0.69985,0.10005,0.01360,0.00148,0.00049,0.00099
0.02767,0.19368,0.67939,0.00101,0.00000,0.00101,-0.00152,0.67939,0.19368,0.03245,0.00203,0.00000,0.00203
0.01728,0.12099,0.69644,0.00061,0.00061,0.00000,0.00026,0.69644,0.12099,0.01904,0.00123,0.00000,0.00123
0.01765,0.12352,0.69599,0.00063,0.00063,0.00000,0.00020,0.69599,0.12352,0.01944,0.00125,0.00000,0.00125
0.01638,0.11464,0.69757,0.00000,0.00000,0.00049,-0.00086,0.69757,0.11464,0.01512,0.00000,0.00000,0.00000
0.01778,0.12449,0.69590,0.00064,0.00064,0.00000,0.00026,0.69590,0.12449,0.01149,0.00255,0.00000,0.00255
0.02541,0.17785,0.68404,0.00000,0.00091,0.00000,-0.00099,0.68404,0.17785,0.01642,0.00182,0.00000,0.00182
0.01409,0.09863,0.70006,0.00048,0.00048,0.00048,0.00035,0.70006,0.09863,0.01347,0.00096,0.00000,0.00096
0.01810,0.12672,0.69543,0.00062,0.00062,0.00000,-0.00015,0.69543,0.12672,0.01731,0.00124,0.00000,0.00124
0.01213,0.08489,0.70189,0.00000,0.00000,0.00037,-0.00010,0.70189,0.08489,0.01139,0.00073,0.00000,0.00073
0.01804,0.12630,0.68522,0.00067,0.00000,0.00067,0.00031,0.70537,0.12630,0.02620,0.00134,0.00000,0.00134
0.01837,0.12862,0.69508,0.00000,0.00000,0.00065,-0.00013,0.69508,0.12862,0.01689,0.00130,0.00000,0.00130
0.01872,0.13105,0.69462,0.00072,0.00000,0.00000,0.00073,0.69462,0.13105,0.01719,0.00143,0.00000,0.00143
0.01859,0.13015,0.69822,0.00068,0.00000,0.00000,0.00027,0.69144,0.13015,0.01152,0.00407,0.00000,0.00407
0.01492,0.10444,0.69917,0.00000,0.00048,0.00000,-0.00001,0.69917,0.10444,0.01692,0.00193,0.00000,0.00193
0.01466,0.10264,0.69944,0.00048,0.00048,0.00000,0.00002,0.69944,0.10264,0.01663,0.00190,0.00000,0.00190
0.01470,0.10290,0.69938,0.00045,0.00000,0.00000,-0.00038,0.69938,0.10290,0.01826,0.00000,0.00000,0.00000
0.01242,0.08696,0.70167,0.00000,0.00000,0.00037,-0.00019,0.70167,0.08696,0.00709,0.00075,0.00000,0.00075
0.02709,0.18961,0.68065,0.00097,0.00000,0.00097,-0.00149,0.68065,0.18961,0.02820,0.00000,0.00000,0.00000
0.02426,0.16984,0.68603,0.00084,0.00000,0.00084,-0.00121,0.68603,0.16984,0.02092,0.00000,0.00000,0.00000
0.01073,0.07509,0.70301,0.00033,0.00033,0.00033,0.00024,0.70301,0.07509,0.01229,0.00000,0.00000,0.00000
0.01730,0.12107,0.69642,0.00054,0.00054,0.00000,-0.00063,0.69642,0.12107,0.01982,0.00000,0.00000,0.00000
0.02086,0.14601,0.70303,0.00077,0.00000,0.00000,0.00005,0.67985,0.14601,0.02163,0.00155,0.00000,0.00155
0.00964,0.06749,0.70382,0.00029,0.00000,0.00029,0.00026,0.70382,0.06749,0.00927,0.00000,0.00000,0.00000
0.03916,0.27413,0.64966,0.00158,0.00158,0.00000,-0.00370,0.64966,0.27413,0.06338,0.00317,0.00000,0.00317
0.02838,0.19867,0.67754,0.00115,0.00115,0.00000,-0.00078,0.67754,0.19867,0.04594,0.00230,0.00000,0.00230
0.01961,0.13726,0.69325,0.00069,0.00000,0.00069,-0.00034,0.69325,0.13726,0.02704,0.00000,0.00000,0.00000
0.01488,0.10415,0.69922,0.00049,0.00000,0.00049,-0.00006,0.69922,0.10415,0.01614,0.00000,0.00000,0.00000
0.01432,0.10024,0.69977,0.00047,0.00047,0.00000,0.00019,0.69977,0.10024,0.01844,0.00189,0.00000,0.00189
0.01644,0.11507,0.69738,0.00000,0.00000,0.00058,0.00021,0.69738,0.11507,0.02383,0.00000,0.00000,0.00000
0.02610,0.18268,0.68266,0.00096,0.00000,0.00000,-0.00098,0.68266,0.18268,0.02308,0.00000,0.00000,0.00000
0.02408,0.16856,0.68641,0.00087,0.00000,0.00000,-0.00075,0.68641,0.16856,0.01651,0.00000,0.00000,0.00000
0.02136,0.14955,0.69085,0.00000,0.00000,0.00081,-0.00010,0.69085,0.14955,0.01626,0.00000,0.00000,0.00000
0.01754,0.12278,0.69618,0.00063,0.00000,0.00063,0.00018,0.69618,0.12278,0.01392,0.00000,0.00000,0.00000
0.03206,0.22441,0.66918,0.00135,0.00135,0.00000,-0.00138,0.66918,0.22441,0.05137,0.00270,0.00000,0.00270
0.01580,0.11062,0.69823,0.00000,0.00000,0.00000,0.00031,0.69823,0.11062,0.01533,0.00000,0.00000,0.00000
0.02423,0.16959,0.67651,0.00093,0.00093,0.00000,-0.00044,0.69505,0.16959,0.03336,0.00278,0.00000,0.00278
0.02423,0.16959,0.69505,0.00093,0.00093,0.00000,-0.00032,0.67651,0.16959,0.03336,0.00278,0.00000,0.00278
0.01588,0.11116,0.69813,0.00054,0.00000,0.00054,-0.00003,0.69813,0.11116,0.01611,0.00107,0.00000,0.00107
0.01177,0.08240,0.70217,0.00036,0.00036,0.00036,-0.00002,0.70217,0.08240,0.01361,0.00000,0.00000,0.00000
0.01331,0.09316,0.70081,0.00043,0.00043,0.00043,0.00004,0.70081,0.09316,0.01402,0.00085,0.00000,0.00085
0.01300,0.09097,0.70111,0.00044,0.00044,0.00000,0.00065,0.70111,0.09097,0.01287,0.00089,0.00000,0.00089
0.00991,0.06940,0.70362,0.00000,0.00032,0.00032,0.00065,0.70362,0.06940,0.00959,0.00064,0.00000,0.00064
0.01759,0.12315,0.71194,0.00000,0.00064,0.00000,0.00051,0.67987,0.12315,0.01668,0.00128,0.00000,0.00128
0.01425,0.09973,0.69989,0.00000,0.00045,0.00000,-0.00011,0.69989,0.09973,0.01431,0.00089,0.00000,0.00089
0.01757,0.12298,0.69599,0.00000,0.00068,0.00000,0.00103,0.69599,0.12298,0.02500,0.00135,0.00000,0.00135
0.01367,0.09571,0.70046,0.00000,0.00046,0.00000,0.00046,0.70046,0.09571,0.01480,0.00000,0.00000,0.00000
0.01821,0.12747,0.69529,0.00064,0.00064,0.00064,-0.00010,0.69529,0.12747,0.01738,0.00129,0.00000,0.00129
0.01524,0.10669,0.69884,0.00053,0.00053,0.00000,0.00048,0.69884,0.10669,0.01547,0.00000,0.00000,0.00000
0.02080,0.14561,0.69163,0.00073,0.00073,0.00000,-0.00041,0.69163,0.14561,0.02111,0.00000,0.00000,0.00000
0.02745,0.19214,0.68005,0.00108,0.00108,0.00000,-0.00082,0.68005,0.19214,0.02159,0.00216,0.00000,0.00216
0.01419,0.09935,0.69994,0.00045,0.00045,0.00045,-0.00015,0.69994,0.09935,0.01490,0.00000,0.00000,0.00000
0.01219,0.08531,0.70183,0.00039,0.00039,0.00039,0.00017,0.70183,0.08531,0.01280,0.00000,0.00000,0.00000
0.01350,0.09447,0.70064,0.00045,0.00045,0.00045,0.00030,0.70064,0.09447,0.01311,0.00090,0.00000,0.00090
0.01341,0.09388,0.70072,0.00045,0.00045,0.00045,0.00032,0.70072,0.09388,0.01303,0.00090,0.00000,0.00090
0.01939,0.13576,0.69373,0.00075,0.00075,0.00075,0.00042,0.69373,0.13576,0.01492,0.00298,0.00000,0.00298
