# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
26.00000,182.00000,930.00000,0.00000,0.00000,1.00000,0.56068,930.00000,182.00000,nan,6.00000,1.00000,5.00000
28.42857,199.00000,1170.00000,0.00000,0.00000,0.00000,0.40355,1170.00000,199.00000,nan,3.00000,1.00000,2.00000
31.00000,217.00000,800.00000,1.00000,0.00000,1.00000,-2.12538,800.00000,217.00000,nan,9.00000,3.00000,6.00000
30.14286,211.00000,850.00000,1.00000,1.00000,0.00000,-1.49529,850.00000,211.00000,nan,2.00000,0.00000,2.00000
28.14286,197.00000,1060.00000,1.00000,0.00000,1.00000,-0.16562,1060.00000,197.00000,nan,3.00000,1.00000,2.00000
28.00000,196.00000,680.00000,1.00000,0.00000,0.00000,-1.41094,680.00000,196.00000,nan,3.00000,1.00000,2.00000
26.14286,183.00000,850.00000,0.00000,0.00000,1.00000,-0.03848,850.00000,183.00000,nan,6.00000,1.00000,5.00000
27.28571,191.00000,980.00000,1.00000,0.00000,0.00000,0.24391,980.00000,191.00000,nan,3.00000,1.00000,2.00000
30.85714,216.00000,1600.00000,0.00000,0.00000,0.00000,0.43771,1600.00000,216.00000,nan,3.00000,1.00000,2.00000
24.28571,170.00000,640.00000,0.00000,0.00000,1.00000,-0.31896,640.00000,170.00000,nan,3.00000,1.00000,2.00000
27.57143,193.00000,710.00000,1.00000,0.00000,1.00000,-1.40796,710.00000,193.00000,nan,15.00000,3.00000,12.00000
29.28571,205.00000,1300.00000,1.00000,0.00000,1.00000,0.12040,1300.00000,205.00000,nan,3.00000,1.00000,2.00000
26.00000,182.00000,980.00000,0.00000,0.00000,1.00000,0.88090,980.00000,182.00000,nan,3.00000,1.00000,2.00000
26.00000,182.00000,980.00000,0.00000,0.00000,0.00000,1.20274,980.00000,182.00000,nan,3.00000,1.00000,2.00000
29.42857,206.00000,1630.00000,0.00000,0.00000,1.00000,1.30417,1630.00000,206.00000,nan,9.00000,3.00000,6.00000
29.57143,207.00000,590.00000,1.00000,0.00000,0.00000,-2.09092,590.00000,207.00000,nan,9.00000,3.00000,6.00000
24.42857,171.00000,670.00000,1.00000,0.00000,0.00000,0.25227,670.00000,171.00000,nan,9.00000,3.00000,6.00000
25.28571,177.00000,630.00000,1.00000,0.00000,0.00000,-0.68443,630.00000,177.00000,nan,3.00000,1.00000,2.00000
26.00000,182.00000,970.00000,0.00000,0.00000,0.00000,1.13849,970.00000,182.00000,nan,15.00000,3.00000,12.00000
27.00000,189.00000,1300.00000,0.00000,0.00000,1.00000,1.90966,1300.00000,189.00000,nan,5.00000,1.00000,4.00000
26.57143,186.00000,610.00000,1.00000,0.00000,0.00000,-1.33699,610.00000,186.00000,nan,9.00000,3.00000,6.00000
29.00000,203.00000,1170.00000,0.00000,0.00000,1.00000,-0.20277,1170.00000,203.00000,nan,9.00000,3.00000,6.00000
27.00000,189.00000,880.00000,0.00000,1.00000,0.00000,-0.09638,880.00000,189.00000,nan,9.00000,3.00000,6.00000
28.28571,198.00000,640.00000,1.00000,0.00000,0.00000,-1.63517,640.00000,198.00000,nan,3.00000,1.00000,2.00000
27.00000,189.00000,1005.00000,1.00000,0.00000,0.00000,0.56173,1005.00000,189.00000,nan,9.00000,3.00000,6.00000
26.14286,183.00000,720.00000,1.00000,0.00000,1.00000,-0.81583,720.00000,183.00000,nan,3.00000,1.00000,2.00000
25.42857,178.00000,620.00000,0.00000,0.00000,1.00000,-1.12148,620.00000,178.00000,nan,3.00000,1.00000,2.00000
29.85714,209.00000,1330.00000,0.00000,0.00000,1.00000,-0.11466,1330.00000,209.00000,nan,6.00000,0.00000,6.00000
29.28571,205.00000,890.00000,1.00000,0.00000,1.00000,-1.31437,890.00000,205.00000,nan,9.00000,3.00000,6.00000
27.00000,189.00000,915.00000,1.00000,1.00000,1.00000,-0.19578,915.00000,189.00000,nan,5.00000,1.00000,4.00000
27.00000,189.00000,820.00000,1.00000,1.00000,0.00000,-0.40610,820.00000,189.00000,nan,5.00000,1.00000,4.00000
29.85714,209.00000,1400.00000,1.00000,0.00000,0.00000,0.40019,1400.00000,209.00000,nan,9.00000,3.00000,6.00000
29.00000,203.00000,1400.00000,1.00000,0.00000,1.00000,0.70488,1400.00000,203.00000,nan,3.00000,1.00000,2.00000
30.14286,211.00000,1300.00000,1.00000,1.00000,0.00000,-0.09570,1300.00000,211.00000,nan,15.00000,3.00000,12.00000
24.28571,170.00000,670.00000,1.00000,0.00000,1.00000,-0.05246,670.00000,170.00000,nan,9.00000,3.00000,6.00000
27.85714,195.00000,1100.00000,1.00000,1.00000,1.00000,0.18511,1100.00000,195.00000,nan,9.00000,3.00000,6.00000
27.85714,195.00000,1140.00000,1.00000,1.00000,1.00000,0.37127,1140.00000,195.00000,nan,9.00000,3.00000,6.00000
26.00000,182.00000,980.00000,0.00000,0.00000,1.00000,0.88090,980.00000,182.00000,nan,5.00000,1.00000,4.00000
26.14286,183.00000,500.00000,1.00000,0.00000,0.00000,-1.85945,500.00000,183.00000,nan,5.00000,1.00000,4.00000
29.00000,203.00000,1040.00000,1.00000,0.00000,1.00000,-0.68509,1040.00000,203.00000,nan,3.00000,1.00000,2.00000
29.28571,205.00000,860.00000,1.00000,0.00000,1.00000,-1.41015,860.00000,205.00000,nan,5.00000,1.00000,4.00000
28.14286,197.00000,750.00000,1.00000,1.00000,1.00000,-1.42333,750.00000,197.00000,nan,3.00000,1.00000,2.00000
28.14286,197.00000,1300.00000,1.00000,1.00000,1.00000,0.91127,1300.00000,197.00000,nan,3.00000,1.00000,2.00000
